Trey Sermon (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,114,36,-78,0,4700,0,0
 O,,,,,,,,,,,,,
Cam Akers (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,112,100,-12,0,4000,0,0
 I,,,,,,,,,,,,,
Michael Carter (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,128,21,-107,0,5300,0,0
 I,,,,,,,,,,,,,
J.K. Dobbins (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,111,99,-12,0,4000,0,0
 I,,,,,,,,,,,,,
Travis Etienne Jr. (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,110,98,-12,0,4000,0,0
 I,,,,,,,,,,,,,
